state,year,poor,core
Michigan,2011,0.190962599,0.208544841
Michigan,2012,0.188218527,0.227072247
Michigan,2013,0.174932599,0.215685351
Michigan,2014,0.177975979,0.192855255
Minnesota,1997,0.108439834,0.851980992
Minnesota,1998,0.116702815,0.849227709
Minnesota,1999,0.097401114,0.769022118
Minnesota,2000,0.066752037,0.764654189
Minnesota,2001,0.065444839,0.688749985
Minnesota,2002,0.068175476,0.705090890
Minnesota,2003,0.069300654,0.756509743
Minnesota,2004,0.069602392,0.748169756
Minnesota,2005,0.075609027,0.663014996
Minnesota,2006,0.091226098,0.648924823
Minnesota,2007,0.098664928,0.586347251
Minnesota,2008,0.113353986,0.472724772
Minnesota,2009,0.127634951,0.551443664
Minnesota,2010,0.123719672,0.554934807
Minnesota,2011,0.116237467,0.524113429
Minnesota,2012,0.120186569,0.547640930
Minnesota,2013,0.123324038,0.471625965
Minnesota,2014,0.111925336,0.543205393
Mississippi,1997,0.237016737,0.814291704
Mississippi,1998,0.196388913,0.816888439
Mississippi,1999,0.178296868,0.654423384
Mississippi,2000,0.174860309,0.802496740
Mississippi,2001,0.197194678,0.738981311
Mississippi,2002,0.212622931,0.785661329
Mississippi,2003,0.199232009,0.827770307
Mississippi,2004,0.202981718,0.715438410
Mississippi,2005,0.226915055,0.736556196
Mississippi,2006,0.244006592,0.720149668
Mississippi,2007,0.264745981,0.709273164
Mississippi,2008,0.247410260,0.711849935
Mississippi,2009,0.258011186,0.772495931
Mississippi,2010,0.294592202,0.762660322
Mississippi,2011,0.253005642,0.808604842
Mississippi,2012,0.242052896,0.793277857
Mississippi,2013,0.251544869,0.804901530
Mississippi,2014,0.241607296,0.796158543
Missouri,1997,0.129908196,0.782088324
Missouri,1998,0.157688720,0.739082883
Missouri,1999,0.159374721,0.767261982
Missouri,2000,0.139959023,0.728797240
Missouri,2001,0.106945293,0.745744973
Missouri,2002,0.110931697,0.713359298
Missouri,2003,0.115255562,0.658823911
Missouri,2004,0.136214106,0.699302912
Missouri,2005,0.151646664,0.706395106
Missouri,2006,0.146331375,0.631997934
Missouri,2007,0.157802540,0.536558311
Missouri,2008,0.171751086,0.582968299
Missouri,2009,0.188652728,0.572155116
Missouri,2010,0.187692974,0.472847539
Missouri,2011,0.185846524,0.481739268
Missouri,2012,0.187331132,0.433428773
Missouri,2013,0.181690729,0.399305432
Missouri,2014,0.159872161,0.375561744
Montana,1997,0.200252960,0.790659841
Montana,1998,0.188576177,0.792706684
Montana,1999,0.190175033,0.777433900
Montana,2000,0.183776294,0.669990349
Montana,2001,0.164867182,0.745303427
Montana,2002,0.148895183,0.732871248
Montana,2003,0.169358265,0.771202688
Montana,2004,0.175216553,0.712997519
Montana,2005,0.157231396,0.718395375
Montana,2006,0.164134712,0.694066905
Montana,2007,0.159350850,0.707343728
Montana,2008,0.155977230,0.716213143
Montana,2009,0.174151790,0.724969009
Montana,2010,0.189598647,0.761497118
Montana,2011,0.216728465,0.721517649
Montana,2012,0.198884969,0.694068518
Montana,2013,0.175812546,0.698439219
Montana,2014,0.168666721,0.708523150
Nebraska,1997,0.108293017,0.754079879
Nebraska,1998,0.116934416,0.705908332
Nebraska,1999,0.129071237,0.819681801
Nebraska,2000,0.098381760,0.843946167
Nebraska,2001,0.101145657,0.877327953
Nebraska,2002,0.112904252,0.887313111
Nebraska,2003,0.103460253,0.946716252
Nebraska,2004,0.100877940,0.944920036
Nebraska,2005,0.101743484,0.933923793
Nebraska,2006,0.104953518,0.933545921
Nebraska,2007,0.109655750,0.673862303
Nebraska,2008,0.123601900,0.638842377
Nebraska,2009,0.120114894,0.665431934
Nebraska,2010,0.110196079,0.654976244
Nebraska,2011,0.125119397,0.653729119
Nebraska,2012,0.149148018,0.614742947
Nebraska,2013,0.158715825,0.616266239
Nebraska,2014,0.148488667,0.559197280
Nevada,1997,0.105307024,0.640705837
Nevada,1998,0.124737323,0.521159831
Nevada,1999,0.130547373,0.456019370
Nevada,2000,0.123083132,0.502309275
Nevada,2001,0.084860884,0.504302822
Nevada,2002,0.088703704,0.623261496
Nevada,2003,0.117728512,0.648888288
Nevada,2004,0.125074934,0.567834318
Nevada,2005,0.119430806,0.619410342
Nevada,2006,0.110925030,0.639736555
Nevada,2007,0.103306920,0.641144673
Nevada,2008,0.113867257,0.375967322
Nevada,2009,0.144553645,0.437380753
Nevada,2010,0.177828419,0.472968386
Nevada,2011,0.181328820,0.421077218
Nevada,2012,0.176752707,0.479834245
Nevada,2013,0.203377402,0.515368103
Nevada,2014,0.222635978,0.535659722
New Hampshire,1997,0.105376128,0.731326481
New Hampshire,1998,0.126497834,0.710554246
New Hampshire,1999,0.092659914,0.735382410
